"predict","CLASS-1042","CLASS-110","CLASS-123","CLASS-177","CLASS-230","CLASS-278","CLASS-322","CLASS-323","CLASS-368","CLASS-453","CLASS-489","CLASS-49","CLASS-50","CLASS-51","CLASS-522","CLASS-559","CLASS-571","CLASS-606","CLASS-629","CLASS-651","CLASS-668","CLASS-671","CLASS-720","CLASS-74","CLASS-75","CLASS-758","CLASS-764","CLASS-765","CLASS-783","CLASS-784","CLASS-804","CLASS-816","CLASS-839","CLASS-913","CLASS-942","CLASS-947","CLASS-95","CLASS-953"
"CLASS-784",1.6984219946134646E-4,1.7143059878213578E-4,7.492829167646538E-5,7.799696966908463E-4,9.53792503818752E-8,0.005284951025140865,1.9962554195386346E-6,1.1626349395051765E-7,3.4087617153551646E-5,7.562238181024845E-5,3.3670269863603184E-7,3.85290379164449E-5,4.0147095400607283E-7,2.1815666934494738E-8,0.003899404496767827,5.369547506242491E-7,1.254820690244447E-7,0.0010367044493971504,0.005402887809507012,4.435198926640643E-4,3.6890270302811186E-6,4.439662065621517E-5,3.404032661659984E-6,7.785920265465092E-6,0.002135999031859816,5.744729946124687E-8,2.2723401385026443E-4,5.205526629981253E-4,6.794111430181894E-7,0.9762550790400858,8.493573258551917E-5,3.904952694022947E-5,1.1104894307145061E-4,6.57042260180997E-5,4.032109732533864E-5,2.0658715885247835E-5,0.0029496911027099477,7.42056263430214E-5
"CLASS-784",7.204706167185531E-5,8.611078995339176E-5,2.548772073475689E-5,1.9030377300734152E-4,2.974833085132572E-8,0.0017362999697062996,1.2193101892806918E-6,3.565845424715762E-8,1.1786702822379412E-5,4.7087109074756014E-5,1.3749705690353496E-7,1.2553389830982463E-5,1.088177056701339E-7,5.040940805249634E-9,0.0020124892111055078,1.850551162743829E-7,4.2226861636325134E-8,3.584841754157755E-4,0.0030209297777750803,2.0414205772438187E-4,9.315730005716014E-7,1.8035833387671376E-5,8.876622367345611E-7,2.944429906959346E-6,8.939184021248759E-4,1.1259223693572244E-8,7.920616692996573E-5,9.473733317697944E-5,2.6561767714023754E-7,0.9898509088334249,2.7070036882257553E-5,1.4940678216179514E-5,4.617929323062827E-5,2.9058296794622236E-5,1.55416718298326E-5,5.143254582396353E-6,0.0011090042044667307,3.173035942979554E-5
"CLASS-784",7.218581818577608E-5,8.266990212509738E-5,2.2673393167156615E-5,1.702557630145945E-4,2.6805626542370607E-8,0.0014638817960864353,1.2070447912474624E-6,3.466263020945488E-8,9.976457977340976E-6,4.3633210640221805E-5,1.404617641563033E-7,1.090214102621702E-5,9.508538721006297E-8,4.725969568992656E-9,0.0018899249042420635,1.66087117482739E-7,3.986364957166637E-8,3.1914346348079306E-4,0.0027984196005163995,1.94440608229816E-4,8.281255134317354E-7,1.677955026285566E-5,7.926457413200432E-7,2.6243944320898193E-6,8.629332019438986E-4,9.453995029993569E-9,7.210859825747563E-5,7.884309550827629E-5,2.4693790367347566E-7,0.9907180001764819,2.4053959838513512E-5,1.2978775407623798E-5,4.298062202367676E-5,3.1370997291048896E-5,1.5084051669527884E-5,4.227855582800442E-6,0.0010063019027853706,3.001385973340689E-5
"CLASS-784",7.651229859608632E-5,1.1031357643023391E-4,4.389327447229443E-5,3.2197779769600656E-4,4.76284899151683E-8,0.0036885180737218294,1.4048509341362694E-6,4.210838594365527E-8,2.314304971324715E-5,6.517784378228885E-5,1.3866504828561895E-7,2.313582631739167E-5,2.0587514929981652E-7,7.578822664443348E-9,0.0029061367236073044,3.1149353466457734E-7,5.8381045217916096E-8,6.191423876508188E-4,0.004251405708555215,2.612874095275781E-4,1.5489786395873744E-6,2.5636008291509216E-5,1.4487366010211783E-6,4.939638441921448E-6,0.0011105186720714536,2.429815845628544E-8,1.2445262941548414E-4,2.185240679168079E-4,3.750269614745869E-7,0.9841472730449833,4.6307258955884645E-5,2.7763756539020827E-5,6.276938735641503E-5,2.333000231691447E-5,1.848840107557534E-5,1.208729443189249E-5,0.0017389738364329927,4.2678409929895896E-5
"CLASS-784",7.246106903916403E-5,8.923521895010534E-5,2.8191929339912332E-5,2.039833737485523E-4,3.272849051662635E-8,0.001993685380924843,1.2497880881660397E-6,3.708532794532036E-8,1.3345836609864119E-5,5.0138951192533714E-5,1.364393509192348E-7,1.3936027880163086E-5,1.2265731540198973E-7,5.410632975259383E-9,0.002134774265662243,2.0421295129037447E-7,4.520982725982563E-8,3.9301388040118967E-4,0.0032143523804422486,2.1477535023487447E-4,1.0202635128241478E-6,1.9042048541158125E-5,9.837475054630526E-7,3.2731425581166556E-6,9.460398926604114E-4,1.300146042837512E-8,8.681052195084266E-5,1.0936822410115858E-4,2.8539695195407626E-7,0.9890423711719906,2.9600597219507332E-5,1.6679344482719687E-5,4.873842321170413E-5,2.7844919327183095E-5,1.60976719924034E-5,5.965582609923104E-6,0.0011888617567943815,3.327709671901883E-5
"CLASS-784",7.217154655485355E-5,8.748364850405603E-5,2.6859991114433083E-5,1.936776657554798E-4,3.1376714335230235E-8,0.0018600967731757507,1.2393390338906587E-6,3.662819027334674E-8,1.2515134665586336E-5,4.872662120131467E-5,1.3659121577436585E-7,1.3178994900509451E-5,1.1579019471324824E-7,5.243024532825565E-9,0.0020660739656855054,1.9530226127887737E-7,4.398825421321355E-8,3.738514845083296E-4,0.0031063834650623687,2.1026479543841519E-4,9.736730256851188E-7,1.84469417036151E-5,9.418699004270752E-7,3.1249764980823174E-6,9.311970265317893E-4,1.2106432835311071E-8,8.327851119372578E-5,1.0123083720850968E-4,2.770611225801647E-7,0.9894746951754545,2.814374250836621E-5,1.5745350804404364E-5,4.742263374310727E-5,2.8549519622323645E-5,1.588049662199533E-5,5.4996399990418745E-6,0.0011390157771027575,3.2476315070450705E-5
"CLASS-784",1.8440272174642956E-4,1.1664595486975064E-4,3.107876194865995E-5,2.9212860784205605E-4,4.392974464119799E-8,0.0010824564578262121,1.790074393441384E-6,1.0232570467513937E-7,1.0029469511568318E-5,4.912221018493302E-5,4.587632633695649E-7,1.1279827957060171E-5,1.3143686128971585E-7,1.380182899459041E-8,0.002522472485259208,2.0903121250567315E-7,8.482108617383595E-8,3.954179239063731E-4,0.00318879718991922,3.120547074125339E-4,1.406959644284381E-6,2.610189478443189E-5,1.2776802594477974E-6,3.120656440374771E-6,0.0015729130259178891,1.3078016876014959E-8,9.987410850319382E-5,9.167553213514784E-5,3.7239900750711473E-7,0.9882767229002379,3.4305947823829545E-5,1.282481383708447E-5,6.986794276910931E-5,1.4984942846911318E-4,3.469444001923143E-5,3.58702669993929E-6,0.0013707164126971962,5.195525025862982E-5
"CLASS-177",9.093113623887354E-4,2.0466435854719185E-6,1.1949893237465053E-5,0.956762122831163,1.7007595032847093E-8,0.002333584495977747,7.49622929020305E-6,1.5728592059638667E-6,1.0583901125184385E-4,1.4068837248110422E-5,1.183599982388709E-5,4.199821726629022E-5,3.3595556449954E-5,4.369583971088143E-6,2.752988434070141E-4,2.4940322705462606E-7,4.98796992576194E-7,2.6374965632971613E-4,0.0013173293166049292,3.4723064839103555E-5,0.001097102731268036,2.4750837888426046E-5,9.9018770208398E-7,4.277335474344289E-6,3.554981433673553E-8,1.1776333018899031E-5,1.1701470744639879E-5,0.03265872562779721,8.820261608778861E-7,2.5992740246635017E-6,0.0010475017642229908,1.0347148009694517E-5,2.1072839933577977E-6,8.541257342321694E-5,2.2027620203770882E-4,9.72478080353003E-6,0.002679271981107311,8.592826536375538E-7
"CLASS-177",0.0015085720904246362,8.92355589494312E-7,5.221200498128669E-6,0.9875885856662013,1.2301806493431221E-8,4.7621595455414064E-4,3.99758128236474E-6,1.1867143074006973E-6,5.2307557038711557E-5,7.634960830005711E-6,2.3183376125960128E-5,2.140961457644198E-5,1.4902015087092061E-5,4.588372216215374E-6,1.370779517187243E-4,1.0196399051187244E-7,3.0709462067751096E-7,1.054356094798793E-4,0.0010200019657464641,3.1644480946061436E-5,8.405815187827513E-4,1.4785024428051089E-5,2.763477733766418E-7,1.4565241875972551E-6,1.1683336613093878E-8,4.512213165900105E-6,4.112902508293198E-6,0.005230929611321553,5.082914766570929E-7,1.1738806870069891E-6,6.74670970575405E-4,3.3038338229964624E-6,1.0016051124937181E-6,9.598489942755992E-5,2.1501848592106498E-4,1.7284379663720945E-6,0.0019059702572274495,6.946852381647767E-7
"CLASS-913",1.9379735922171088E-5,2.218252762634276E-6,2.398949300890974E-6,0.0010320726758925914,2.3925919016661433E-9,1.9485892072181084E-7,4.3028056570124216E-7,7.92060611484175E-5,6.559139215904191E-6,1.2821842479721557E-6,3.6995095506004435E-6,9.948239438791789E-9,1.0856806678959331E-8,4.611061632524501E-8,1.4579788940154474E-4,3.866393234138398E-8,1.364211148453037E-8,8.681504998386756E-5,0.005447506972103651,1.7242908314683432E-5,2.7998166664428995E-7,1.1332707161736192E-6,4.479586095506864E-9,5.59205314157721E-7,2.471913845687618E-9,1.3659649195434147E-8,6.1596499693049934E-6,2.3132127708052735E-6,6.297952759694377E-8,9.73005448703341E-7,2.2349846341971543E-6,4.791932592290978E-7,1.2516252241987684E-6,0.9931253096725224,6.664248932210003E-7,1.155769701725002E-7,1.2839361292068237E-5,6.751630123050629E-7
"CLASS-368",3.170745877613808E-5,8.16756958410228E-5,1.6354679623193003E-4,0.005934922021349002,1.1026683488279003E-9,1.8108777426312145E-6,9.482689397005732E-7,4.7928625823502215E-8,0.8015999040375753,4.802728736161388E-5,2.3865732476819375E-6,2.4118775432309627E-6,1.2237909647165157E-7,2.8440309766636138E-8,7.730287765019754E-4,0.003952796453637177,1.2218609539912114E-7,9.699624213179152E-4,0.017792813392639568,2.3520112765263454E-4,5.863045427736609E-7,0.16802533298243258,5.1227339186295194E-8,1.9309862094218055E-6,2.12468311373932E-9,1.2783745083023067E-7,2.2857434099164558E-5,2.862348835188096E-5,1.6147230953700054E-6,3.143398110588075E-6,1.9989127143890124E-5,4.2645634339119246E-5,5.013762942737014E-6,4.9245182723019346E-5,4.1245238688051393E-7,2.495791965814308E-5,1.6123658068217204E-4,2.0763730656249318E-5
"CLASS-123",0.0013696434852938342,0.0029432709120921683,0.5780996108930766,0.01920495846176922,1.1285028221748974E-6,0.005685406637384514,2.801100600683228E-4,1.3797953140310196E-4,0.02685978259155208,0.0034423791696016307,3.2246057663312075E-5,4.1606663137643224E-4,4.464541976211161E-5,1.1333399947701925E-5,0.03714085843768692,0.0013054127087559772,2.1586285146722352E-5,0.0730545223501032,0.11645411573091786,0.011946797303545779,1.0384626217997612E-4,0.01916514907875755,1.4878073311878162E-5,0.0011547520708385653,5.462279432204735E-5,1.8675668962820873E-4,0.010261489557158124,0.027341032532978166,6.061390186270435E-5,0.0021264842341609455,0.0011727319813928535,0.023749752674629223,0.0014998899165791343,0.006610322033897962,1.6190138111051602E-4,0.007959834928634267,0.017130177795980545,0.0027939095226075347
"CLASS-629",6.755520411023004E-6,2.767069063923752E-6,4.280089478555972E-6,3.0544352179598676E-4,8.254010482554883E-8,9.045804720065709E-6,7.544650709094387E-7,5.748732014292509E-8,2.4627752839911298E-5,2.4315643586312614E-5,9.67587771859166E-8,2.5128566075081387E-7,5.3571320670388225E-9,1.9240899180065412E-9,2.519947304614948E-4,5.848163715857445E-7,3.865139142604495E-8,1.0563501161570329E-4,0.9981130995533628,9.715099363535286E-6,1.698868642859811E-7,6.790264403310707E-6,2.329803944335799E-8,1.6606677634445446E-6,6.205080892802539E-8,4.2766709602321044E-8,5.870824879896841E-4,2.6314750862992912E-6,2.5277520752401095E-7,1.266620164741087E-5,8.22422499366063E-6,4.632920147411224E-6,3.4576603990243407E-4,1.1635280138348592E-4,9.103254498548238E-8,3.7202144751805693E-6,4.775562832178166E-5,2.522181092912487E-6
"CLASS-629",8.432369114263802E-6,1.5858535432876012E-6,1.857579309325662E-6,1.7749035540198807E-4,5.462338654491279E-8,1.4084731716900364E-6,3.732281430946126E-7,4.6641752653768056E-8,1.554589790612283E-5,1.7597577906202792E-5,1.9093112400222325E-7,1.0347174364463994E-7,1.8050910382472457E-9,1.7738306809951837E-9,1.2038784395843536E-4,3.764475202811762E-7,3.3550173432767044E-8,4.137577767096498E-5,0.9988588478467689,8.01202489953325E-6,8.47067224511688E-8,5.7759903633374225E-6,7.549985302831335E-9,5.860491646437833E-7,1.9270580865637698E-8,1.4174244411701529E-8,3.107451254895702E-4,2.5936901244224987E-7,1.7383949743349958E-7,5.729292155466208E-6,4.221463594071339E-6,1.6296583435936558E-6,2.589294567280735E-4,1.3205224342963695E-4,6.212892515004827E-8,6.70980277268352E-7,2.2894339634824254E-5,2.4202894351921903E-6
"CLASS-629",5.879388275521544E-7,1.9091024136236735E-7,1.53382148597986E-7,3.1908682352510615E-5,5.2750887106875865E-9,4.073803764271084E-7,1.49840516243459E-7,5.968331586466593E-9,1.4914476138577107E-6,1.2913028565713479E-6,1.3732935600160432E-8,6.852973200743203E-9,4.2552229534001133E-10,1.825432094213641E-10,3.122002436014541E-4,1.0978013094981718E-7,4.4082133426435915E-9,9.484907222115485E-6,0.9994890045836072,3.4042608401274575E-7,7.772815962237369E-9,2.5862720354860815E-7,2.191686660385007E-9,2.058106329765132E-7,3.113594558851398E-9,1.618217383561173E-9,1.036154855587997E-4,8.57550268712384E-8,4.0429287933043584E-8,1.3300117701693732E-6,1.0556356662924871E-6,1.760987030160483E-7,1.9341205878982008E-5,2.3124137170998302E-5,9.974488933770778E-9,1.0723846163253252E-7,3.1680100411491704E-6,1.0921260730216879E-7
"CLASS-629",6.117880675783463E-7,1.6474904212933434E-7,1.298927464913862E-7,2.825234550739055E-5,4.867873108683012E-9,2.951680485537966E-7,1.3233891072020953E-7,5.713462470072753E-9,1.300254715256907E-6,1.1736781356875812E-6,1.529112825603759E-8,5.621727308454303E-9,3.4888112341181197E-10,1.7994804657902222E-10,2.7102554062253257E-4,9.79578017412561E-8,4.2273338810021116E-9,7.801910316025555E-6,0.9995502528682599,3.184799136820423E-7,6.77929432769461E-9,2.423479234499407E-7,1.7478746201856853E-9,1.706194587023953E-7,2.4875686190891753E-9,1.3215827148342205E-9,9.119527611423956E-5,5.657147045452031E-8,3.8014596296797675E-8,1.101802917166922E-6,8.916021357269023E-7,1.4220879858232987E-7,1.7896319141575372E-5,2.3774042556222323E-5,9.308305163044799E-9,7.530972746639637E-8,2.695575503933887E-6,1.054425887209536E-7
"CLASS-629",3.5403206756822354E-6,1.7722724003667926E-6,2.052246330532147E-6,2.5316039540127406E-4,5.099743697733736E-8,4.8155055379629E-6,4.4734684561047013E-7,2.9255764800258933E-8,2.383711101406904E-5,1.352505446009842E-5,5.387731706676633E-8,1.384590777577033E-7,2.5295286157655865E-9,8.763879942121624E-10,1.776066612245232E-4,4.2294492692004425E-7,1.597830539732259E-8,6.678186314319159E-5,0.9987511356565943,6.015634305025514E-6,8.83107365631098E-8,4.1953559237339905E-6,1.0166253857297985E-8,9.552227161693335E-7,2.813799357925142E-8,2.5497192204503666E-8,3.7317054171184485E-4,1.5694383123509662E-6,1.54718393661584E-7,7.467398077785857E-6,5.87640321893647E-6,2.82454255596206E-6,1.993094677190958E-4,6.476042912532015E-5,4.9380764718795516E-8,2.6597673361093566E-6,3.0079169801827053E-5,1.3710654877779372E-6
"CLASS-629",7.687074688984956E-6,1.8354482515280736E-6,2.5327815086030463E-6,2.491041071516941E-4,5.4215980302260465E-8,2.6096181466792335E-6,4.057407508416834E-7,3.548072907518972E-8,2.7871266486016032E-5,2.211405292110895E-5,1.2502905105469578E-7,1.2323869622944878E-7,2.180967842748409E-9,1.1398349917129546E-9,1.1132849814417485E-4,4.2623424005082436E-7,2.2109960802899964E-8,5.073021412064921E-5,0.9987296546074272,9.123737805757952E-6,9.382312608203934E-8,7.203161789174136E-6,9.290981959618992E-9,7.571683693293197E-7,2.0012429282519474E-8,1.829729256746073E-8,3.806893500612938E-4,4.990703496771349E-7,1.720434410316414E-7,8.038403495637317E-6,5.756115677125696E-6,2.11599765792015E-6,2.6928803319724147E-4,8.167785983537727E-5,6.730495554787817E-8,1.2275780978626893E-6,2.4349256897605216E-5,2.2304554825122217E-6
"CLASS-629",8.27387459324186E-6,1.6179718334916505E-6,2.088785231876197E-6,2.2152317207487022E-4,4.9186662678357E-8,1.694480062087996E-6,3.458000508817296E-7,3.39595286556422E-8,2.5095445401393498E-5,2.057084567679868E-5,1.4969931954441588E-7,1.0126775851654406E-7,1.6893428685982914E-9,1.1543937523384203E-9,9.147171296727477E-5,3.8006835041210126E-7,2.1409098943578806E-8,4.018697883232422E-5,0.9988728292201993,8.611735068950898E-6,8.069059422763579E-8,6.896829264300413E-6,7.177226413417113E-9,6.044299512583463E-7,1.5124265180486795E-8,1.4370451995804804E-8,3.298284805690114E-4,2.890499566509656E-7,1.5951874088936463E-7,6.604673085227215E-6,4.934753994087852E-6,1.6602481816902056E-6,2.455031973458983E-4,8.459789366031055E-5,6.205809753530692E-8,8.149404850629813E-7,2.0653271995131493E-5,2.224835687354335E-6
"CLASS-629",6.734361693362684E-6,2.4867608138339265E-6,3.831050973688984E-6,2.514101589791962E-4,8.085047071989895E-8,6.804820827013005E-6,7.072695032323068E-7,5.7674323737768494E-8,2.212251644404484E-5,2.3499163234900867E-5,1.0408366841327855E-7,2.0944985609970856E-7,4.6007643049629136E-9,1.8978761839861627E-9,2.2495424829122713E-4,5.665787329781123E-7,3.8958461689412347E-8,9.09133345052459E-5,0.9982653639993103,9.549780406809787E-6,1.4886634889555073E-7,6.487949098619511E-6,2.001829153572904E-8,1.486086684414116E-6,5.440007733511709E-8,3.669293850258148E-8,5.540137965370173E-4,1.8181716116922521E-6,2.4809613889853125E-7,1.1074526746362041E-5,7.105553736765351E-6,3.921939053470278E-6,3.3923072357992904E-4,1.1888110871931247E-4,8.601510607175301E-8,2.833333945277982E-6,4.0628595779069286E-5,2.482566470005045E-6
"CLASS-629",6.118163952487406E-6,1.4302650877315952E-6,1.517626766654626E-6,2.8238975374927987E-4,4.29855636988094E-8,2.0677577939768467E-6,3.6989552476271496E-7,3.203061737155152E-8,1.4596624860022832E-5,1.5663408972549388E-5,1.1157890134076148E-7,1.1744118709293814E-7,1.7423276291124047E-9,1.185330740432111E-9,1.4402573710815288E-4,2.838823752016013E-7,2.6972854026566847E-8,5.20050253787889E-5,0.9988876662794381,8.987982782093139E-6,1.1146232771555847E-7,4.932848487623993E-6,9.203497940198906E-9,6.539608368189588E-7,1.6388875853478963E-8,1.935531229667728E-8,2.8280418629171637E-4,5.304801116469988E-7,1.2554841748631887E-7,6.440784829796787E-6,4.28670803840104E-6,1.8426036338061103E-6,1.862472929399046E-4,7.027371958932054E-5,5.976836571731232E-8,8.99271500638359E-7,2.116385896135024E-5,2.126217409739949E-6
