"predict","CLASS-1042","CLASS-110","CLASS-123","CLASS-177","CLASS-230","CLASS-278","CLASS-322","CLASS-323","CLASS-368","CLASS-453","CLASS-489","CLASS-49","CLASS-50","CLASS-51","CLASS-522","CLASS-559","CLASS-571","CLASS-606","CLASS-629","CLASS-651","CLASS-668","CLASS-671","CLASS-720","CLASS-74","CLASS-75","CLASS-758","CLASS-764","CLASS-765","CLASS-783","CLASS-784","CLASS-804","CLASS-816","CLASS-839","CLASS-913","CLASS-942","CLASS-947","CLASS-95","CLASS-953"
"CLASS-784",9.583881724116573E-7,9.622554346707163E-7,9.583286720695717E-7,4.660270034212139E-7,9.615024875934718E-7,9.621100366633257E-7,9.615467319423917E-7,9.612535794426936E-7,2.0190890899632766E-4,2.1060975567540915E-6,3.220307859782102E-4,9.623711694662216E-7,9.607073249222428E-7,9.60325967171359E-7,9.905858680349328E-7,9.620847473096072E-7,9.61405488123785E-7,9.622493120553278E-7,9.60494746656512E-7,9.619250698540017E-7,1.2726739956259257E-6,1.0317023279166704E-6,9.616597448035885E-7,9.620027263527788E-7,9.548746666943728E-7,1.0484773506096727E-6,9.60494746656512E-7,9.827862592638823E-7,9.614989415428805E-7,0.9993946237513189,1.6732348042601604E-6,1.7625834724819367E-5,9.60494746656512E-7,3.0220951065989545E-5,9.600970206041675E-7,9.60210814575924E-7,9.62067880941797E-7,9.578325204104253E-7
"CLASS-784",1.1633867318814132E-6,9.622425666822972E-7,9.583158565927146E-7,4.660207713648733E-7,9.614896296740157E-7,9.620971706192761E-7,9.615338734312676E-7,9.612407248518207E-7,2.0203477730557166E-4,2.1060693924663225E-6,3.220264795453493E-4,1.8846527113383694E-6,9.606944776362877E-7,9.603131249852004E-7,9.90572621191092E-7,9.620718816037452E-7,9.613926315014775E-7,9.62236444148785E-7,9.6048190221331E-7,9.619122062834645E-7,1.2726569764918717E-6,1.1882824665168517E-6,9.616468847811732E-7,9.619898617437617E-7,9.548618974070196E-7,1.0484633295982874E-6,9.6048190221331E-7,9.82773116722155E-7,9.614860836708448E-7,0.999381259110309,1.6732124285319415E-6,2.9469316054564856E-5,9.6048190221331E-7,3.0220546929172736E-5,9.600841814796513E-7,9.601979739296708E-7,9.620550154614846E-7,1.0743711170950502E-6
"CLASS-784",1.1636044711550007E-6,9.624226598462838E-7,9.584952148342722E-7,4.6610799173747416E-7,9.616695819184329E-7,9.622772365709587E-7,9.61713833956339E-7,9.614206305112512E-7,1.491275096997548E-5,2.1064635640750175E-6,3.2208674996945727E-4,1.8850054426366435E-6,9.608742810601772E-7,9.604928570351893E-7,9.907580166035231E-7,9.622519428223399E-7,9.61572565591732E-7,9.62416536166879E-7,9.606616658516174E-7,9.620922376172517E-7,1.2728951667668625E-6,1.1885048652721287E-6,9.61826866457431E-7,9.621699076115322E-7,9.550406092061318E-7,1.048659559826391E-6,9.606616658516174E-7,9.829570523805842E-7,9.616660352515925E-7,0.9995683031459957,1.6735255867008994E-6,2.947483152701696E-5,9.606616658516174E-7,3.0226203001874488E-5,9.602638706806104E-7,9.603776844280067E-7,9.622350735234146E-7,1.074572196220494E-6
"CLASS-784",1.1631765152547509E-6,9.620686955345048E-7,9.581426949766077E-7,4.6593656435801455E-7,9.6131589457718E-7,9.61923325743633E-7,9.613601303398646E-7,9.610670347305124E-7,2.0199827089872535E-4,2.1056888390432273E-6,5.027780259921469E-4,1.8847851791011665E-6,9.605208862183976E-7,9.601396024753233E-7,9.903936309815734E-7,9.618980412976671E-7,9.61218913931598E-7,9.620625741072956E-7,9.603083492064546E-7,9.61738394829707E-7,1.2724270154228953E-6,1.18806775138835E-6,9.614731212693339E-7,9.618160362581536E-7,9.54689359899499E-7,1.0482738789037872E-6,9.603083492064546E-7,9.825955358337796E-7,9.613123492147493E-7,0.9992006772356128,1.6729100896253883E-6,2.9463991135480538E-5,9.603083492064546E-7,3.0215086267419214E-5,9.59910700338418E-7,9.600244722268612E-7,9.618811782030117E-7,9.576466396026356E-7
"CLASS-784",1.1631763802177972E-6,9.620685838448134E-7,9.581425837426986E-7,4.659365102659198E-7,9.613157829748838E-7,9.61923214070818E-7,9.61360018732433E-7,9.610669231571072E-7,2.0199824744808757E-4,2.105688594586945E-6,5.027779676230067E-4,1.8843478884945819E-6,9.605207747083964E-7,9.601394910095866E-7,9.903935160035479E-7,9.618979296277876E-7,9.612188023405606E-7,9.62062462418315E-7,9.603082377211277E-7,9.617382831783615E-7,1.272426867702695E-6,1.1880676134616914E-6,9.614730096487847E-7,9.618159245977944E-7,9.546892490664989E-7,1.048273757206255E-6,9.603082377211277E-7,9.825954217610603E-7,9.613122376128648E-7,0.9992005612351487,1.6729098954118021E-6,2.946398771490975E-5,9.603082377211277E-7,3.0215082759651343E-5,9.599105888992553E-7,9.600243607744905E-7,9.6188106653509E-7,1.0741768603224493E-6
"CLASS-784",1.1631763802596027E-6,9.62068583879391E-7,9.581425837771351E-7,4.6593651028266595E-7,9.613157830094342E-7,9.619232141053904E-7,9.613600187669852E-7,9.610669231916488E-7,2.0199824745534755E-4,2.1056885946626258E-6,5.02777967641077E-4,1.8843119478213758E-6,9.605207747429185E-7,9.60139491044095E-7,9.903935160391436E-7,9.618979296623593E-7,9.612188023751077E-7,9.620624624528923E-7,9.60308237755642E-7,9.617382832129272E-7,1.2724268677484271E-6,1.1880676135043919E-6,9.61473009683341E-7,9.618159246323628E-7,9.546892491008113E-7,1.048273757243931E-6,9.60308237755642E-7,9.825954217963756E-7,9.613122376474153E-7,0.9992005612710608,1.6729098954719281E-6,2.9463987715968713E-5,9.60308237755642E-7,3.02150827607373E-5,9.599105889337553E-7,9.600243608089948E-7,9.618810665696608E-7,1.0741768603610562E-6
"CLASS-784",9.584074150565898E-7,9.622747549630536E-7,9.583479135198483E-7,4.6603636037324426E-7,9.615217927680377E-7,9.621293540363426E-7,9.615660380053014E-7,9.612728796196486E-7,1.490097064904486E-5,2.106139843260378E-6,5.028857128477776E-4,9.623904920822974E-7,9.60726614131427E-7,9.603452487235916E-7,9.906057571494714E-7,9.621040641748608E-7,9.614247913507827E-7,9.622686322247346E-7,9.605140315975215E-7,9.619443835132304E-7,1.2726995485433318E-6,1.0317230425729479E-6,9.616790531355856E-7,9.62022041571205E-7,9.548938387946711E-7,1.0484984020770825E-6,9.605140315975215E-7,9.828059917768408E-7,9.615182466462484E-7,0.9994146897292241,2.535448647508104E-6,2.732851545199176E-6,9.605140315975215E-7,3.022155784625627E-5,9.601162975595807E-7,9.602300938161075E-7,9.620871974684055E-7,1.0744070562234477E-6
"CLASS-489",7.00250607641209E-4,6.221932171492805E-4,4.8018264776962673E-4,0.02397097748750334,6.224087032819172E-4,6.217823887026813E-4,6.225210289727282E-4,6.229726649345494E-4,0.027478504788012757,6.22401937488933E-4,0.8183196307041071,6.234463762421845E-4,7.136741150987879E-4,0.001357978663496162,6.224067185180246E-4,6.23845810145004E-4,6.226214853422996E-4,0.0038435839316729925,6.227339422283313E-4,6.221306939597249E-4,6.223990113874021E-4,6.022152762008253E-4,6.221272963418377E-4,6.224127516634027E-4,6.220834951534628E-4,0.0015632885867953284,6.227339422283313E-4,6.225349481957809E-4,6.22688200815905E-4,5.969433832616888E-4,0.0010810417204601373,0.08046063324480889,6.227339422283313E-4,0.022595618130162604,0.001735690300931437,6.229744612007543E-4,6.215742327203184E-4,8.040591631758373E-4
"CLASS-489",7.717739702584166E-4,6.857438240356317E-4,5.292283426453604E-4,0.026419365102478578,6.859813198497099E-4,6.852910337090442E-4,6.861051184489733E-4,6.86602884356725E-4,0.002235013174282668,6.859738630008957E-4,0.9019025238068833,6.87124980378721E-4,7.865685502734578E-4,0.0014966821495278834,6.859791323626979E-4,6.875652123266422E-4,6.862158353984994E-4,0.004236166307603717,6.863397785932193E-4,6.856749147484279E-4,6.859706380283341E-4,6.637253428874117E-4,6.856711700989872E-4,6.859857817315251E-4,6.856228950718965E-4,0.0017229623596540786,6.863397785932193E-4,6.861204593768083E-4,6.864648847207261E-4,6.579149805685269E-4,0.002031401763403132,0.013749208760365594,6.863397785932193E-4,0.024903527000855973,0.0019129731271511274,6.866048640929587E-4,6.850616167443343E-4,8.861854968997489E-4
"CLASS-913",1.3939123850581895E-6,1.2399912183520943E-6,9.561970166887388E-7,1.2424449073141725E-6,1.239683904881636E-6,1.2418336926296857E-6,1.241426201325381E-6,1.2436694809787788E-6,3.845234910275136E-5,1.2409716607063096E-6,5.01508678899022E-6,1.2393748115264368E-6,1.2399863865451984E-6,1.2408972791923582E-6,1.2765408641057495E-6,1.2417802427690882E-6,1.2407326294502316E-6,1.239988455997472E-6,1.2395804803825636E-6,1.2396438381784192E-6,1.3257204402783781E-6,1.266138771916021E-6,1.2397330710266667E-6,1.2416811579761022E-6,1.2395932255681853E-6,1.353288743656781E-6,1.2395804803825636E-6,1.2693627247279384E-6,1.241356130257947E-6,1.2372744221893457E-6,5.553758967356269E-6,5.6232871122341646E-5,1.2395804803825636E-6,0.9998535051916461,1.2392146478381408E-6,1.2415828118796398E-6,1.241090264294532E-6,1.3868895442215588E-6
